epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3651.95,0.99348,1.53362,0.71289,0.97659,0.72592,0.79694,0.82766,0.58542,0.8121,0.7819,0.81638,0.51562,0.99007,1.26813,0.71819,1.01076,0.000657025,0.000657025,0.000657025
30,3775.28,0.94986,1.48471,0.70877,0.95845,0.92324,0.78407,0.81668,0.54733,0.9206,0.78231,0.80104,0.51584,1.1458,1.33604,0.73237,1.05523,0.000648026,0.000648026,0.000648026
31,3898.7,0.95618,1.51702,0.72569,0.95181,0.9281,0.78155,0.81979,0.56334,0.92326,0.7771,0.79752,0.51841,1.07404,1.27993,0.71692,1.02488,0.000639027,0.000639027,0.000639027
32,4022.13,0.9892,1.54384,0.7149,0.95518,0.91952,0.77613,0.85432,0.59792,0.91267,0.77291,0.79817,0.51192,0.93064,1.26506,0.69797,0.98476,0.000630028,0.000630028,0.000630028
33,4146.68,0.96447,1.48183,0.70318,0.95369,0.7582,0.83994,0.85019,0.59118,0.74012,0.76376,0.79578,0.51457,0.96939,1.28231,0.73512,1.00528,0.000621029,0.000621029,0.000621029
34,4269.33,0.98067,1.49686,0.71466,0.94939,0.84387,0.8269,0.85356,0.56217,0.76799,0.7895,0.7997,0.52944,1.11339,1.29925,0.71826,1.03596,0.00061203,0.00061203,0.00061203
35,4393.24,0.99889,1.48317,0.75374,0.95861,0.75871,0.81311,0.80753,0.58943,0.75449,0.76743,0.79596,0.52399,0.9163,1.25774,0.70546,0.9668,0.000603031,0.000603031,0.000603031
36,4517.16,0.94104,1.4366,0.6977,0.94257,0.73528,0.82955,0.80928,0.58836,0.75387,0.78351,0.79799,0.5088,0.9303,1.26826,0.6961,0.98807,0.000594031,0.000594031,0.000594031
37,4639.51,0.91833,1.40987,0.67903,0.94341,0.74782,0.83665,0.81297,0.57907,0.74271,0.83167,0.79871,0.51511,0.99866,1.25816,0.68867,1.01417,0.000585032,0.000585032,0.000585032
38,4763.21,0.96672,1.47436,0.69767,0.937,0.91924,0.78392,0.81108,0.54629,0.92049,0.78011,0.801,0.53436,1.15257,1.32907,0.71961,1.05456,0.000576033,0.000576033,0.000576033
39,4886.62,0.98632,1.48799,0.69109,0.94563,0.92149,0.78245,0.81259,0.55759,0.91982,0.78069,0.79989,0.54062,1.09582,1.27951,0.70447,1.02202,0.000567034,0.000567034,0.000567034
40,5009.91,0.92913,1.41625,0.65299,0.9386,0.91303,0.79443,0.81467,0.55938,0.75741,0.82803,0.81209,0.52881,1.07764,1.29772,0.69718,1.03237,0.000558035,0.000558035,0.000558035
